text,label
"I'm absolutely delighted with these!Each and every product in the box is packaged with care, ensuring an easy application.",0
"I purchased this cover January 17, 2011 when I started massage therapy school. I will also mention that when I made my purchase, it was sold as one cover for $8.50. It is a very long lasting cover! Not only did it survive 7 months of use in school, it has been part of my cover collection used for almost 2 years in my practice. It has been laundered and has held up beautifully - no rips, tears, fading or loss of softness. I am considering purchasing more now as my clientele has grown. With the current offer of $32 for a pack of 6, that makes each cover only a little over $5 each. With the track record the one I already have has, I am more than confident in purchasing more!",1
"Love this stuff, works well, nice light scent. Decent size bottle, good price.",1
"Yes, it does smell good...",1
So comfy,1
The product is a fine addition to one's collection and offers a luxurious feel.,0
"These headbands are made of PU leather with what appears to be a cloth covered plastic base. The headbands look good on and are best on those with a full head of hair since they are so large. The glue of the leather to the material was coming apart on one of mine, so the quality is so, so.<br /><br />However, it also came with two polyester-type cloth headbands, a bow hair tie, and a strip of cloth with avocados on them. None of the cloth bands fit me as they are kid-sized. Also, the material feels scratchy and horrible. The avocado tie is okay and so is the hair tie bow.<br /><br />The curent price of $12.99 ($18.99 minus $6) is too much for this ensemble.",1
I am quite pleased with the dnd product I purchased.,0
Works very well,1
"The product's sturdiness and quality is quite impressive, and it delivers great value for its price.",0
"Worked out fine.  Just a bit tight, but o.k.",1
This headband is a great addition to one's home office collection.,0
I'll admit it. I cheaped out on my spray bottle. I'm glad I upgraded. This is so easy to use. It makes wash day and styling so much easier. I only wish it came in a larger size. I highly recommend this.,1
